market,korean_name,english_name,market_warning,trade_price,acc_trade_price_24h,signed_change_rate,signed_change_price,trade_timestamp
KRW-AXS,엑시인피니티,Axie Infinity,,1815.0,6276766330.985036,-0.0452393477,,1772283953072
KRW-ARDR,아더,Ardor,,62.0,606752843.6267723,-0.0189873418,,1772283986634
KRW-AQT,알파쿼크,Alpha Quark Token,,744.0,1281462115.9218884,-0.0337662338,,1772283970218
KRW-ME,매직에덴,Magic Eden,,163.0,3934945324.927402,-0.0738636364,,1772283942807
KRW-TRUST,인튜이션,Intuition,,106.0,1127142079.6827457,-0.045045045,,1772283962110
KRW-SONIC,소닉SVM,Sonic SVM,,61.9,3952492528.3295093,-0.0897058824,,1772283983120
KRW-ARB,아비트럼,Arbitrum,,135.0,4901532417.262355,-0.0816326531,,1772283977319
KRW-POL,폴리곤에코시스템토큰,Polygon Ecosystem Token,,151.0,2529756236.3988247,-0.0503144654,,1772283989219
KRW-CVC,시빅,Civic,,45.4,512440269.45747393,-0.0173160173,,1772283969891
KRW-T,쓰레스홀드,Threshold,,9.12,421704368.44508225,-0.04,,1772283895054
KRW-W,웜홀,Wormhole,,26.1,3275862706.601956,-0.0577617329,,1772283841143
KRW-ARK,아크,Ark,,252.0,676024511.8973999,-0.0418250951,,1772283874521
KRW-AVNT,아반티스,Avantis,,244.0,3031405948.882475,-0.0687022901,,1772283985364
KRW-LA,라그랑주,Lagrange,,316.0,1503952552.8920395,-0.0705882353,,1772283669669
KRW-HYPER,하이퍼레인,Hyperlane,,131.0,1160283891.2348804,-0.0774647887,,1772283950502
KRW-ATH,에이셔,Aethir,,8.03,96785220028.15884,-0.0770114943,,1772283989220
KRW-TAIKO,타이코,Taiko,,171.0,2312918909.6235456,-0.0604395604,,1772283926943
KRW-AVAX,아발란체,Avalanche,,12500.0,1881746444.5705445,-0.0450725745,,1772283959841
KRW-XAUT,테더골드,Tether Gold,,7805000.0,21561966933.29647,0.0174683874,,1772283987286
KRW-CPOOL,클리어풀,Clearpool,,28.1,1015177230.0203972,-0.0633333333,,1772283939923
KRW-IMX,이뮤터블엑스,Immutable X,,226.0,516185776.5065455,-0.0661157025,,1772283863948
KRW-SC,시아코인,Siacoin,,1.56,352334226.2951375,-0.037037037,,1772283902823
KRW-INJ,인젝티브,Injective,,4289.0,2371183340.5323086,-0.0458286986,,1772283964365
KRW-MVL,엠블,MVL,,2.01,713603548.4175209,-0.0098522167,,1772283946967
KRW-HIVE,하이브,Hive,,91.8,648703753.661924,-0.0417536534,,1772283874845
KRW-CBK,코박토큰,Cobak Token,,362.0,567139945.5728813,-0.0294906166,,1772283984719
KRW-OM,만트라,MANTRA,,103.0,18198860670.6842,0.0876451954,,1772283989628
KRW-XLM,스텔라루멘,Lumen,,219.0,11068148203.96038,-0.0519480519,,1772283981518
KRW-OP,옵티미즘,Optimism,,163.0,2700522549.9431767,-0.0685714286,,1772283954694
KRW-SAFE,세이프,Safe,,143.0,645755362.083792,-0.0466666667,,1772283902825
KRW-GLM,골렘,Golem,,189.0,1995795469.242619,-0.0454545455,,1772283989542
KRW-SUPER,슈퍼버스,SuperVerse,,158.0,797722899.8917538,-0.0595238095,,1772283884635
KRW-LINEA,리네아,Linea,,4.29,2403976962.224432,-0.0424107143,,1772283978302
KRW-KERNEL,커널다오,KernelDAO,,111.0,2604071996.2721562,-0.112,,1772283985682
KRW-POKT,포켓네트워크,Pocket Network,,20.8,2967255475.0066853,-0.0588235294,,1772283969569
KRW-SENT,센티언트,Sentient,,30.6,3334003165.350806,-0.0727272727,,1772283971189
KRW-ZKC,바운드리스,Boundless,,118.0,1511271472.0103264,-0.0852713178,,1772283684343
KRW-KNC,카이버네트워크,Kyber Network,,190.0,452129095.907682,-0.0452261307,,1772283951140
KRW-ZKP,지케이패스,zkPass,,116.0,2533534501.74777,-0.0333333333,,1772283989221
KRW-AUCTION,바운스토큰,Bounce,,6780.0,899918518.2454885,-0.0470836261,,1772283964689
KRW-ORDER,오덜리,Orderly,,76.0,802778489.6971037,-0.0523690773,,1772283980878
KRW-DRIFT,드리프트,Drift,,119.0,8602005306.508837,-0.0555555556,,1772283965018
KRW-FCT2,피르마체인,FirmaChain,,18.3,816869002.1941789,0.0166666667,,1772283949217
KRW-MTL,메탈,Metal,,392.0,442100283.8027037,-0.0392156863,,1772283983448
KRW-VET,비체인,VeChain,,10.2,1368309205.621327,-0.046728972,,1772283868598
KRW-TAO,비트텐서,Bittensor,,246700.0,1717109088.931684,-0.0419417476,,1772283975074
KRW-QTUM,퀀텀,Qtum,,1254.0,570390603.8706625,-0.0578512397,,1772283704613
KRW-TT,썬더코어,ThunderCore,,1.28,571035695.40725,0,,1772283889866
KRW-LINK,체인링크,Chainlink,,12200.0,4896112616.511696,-0.0408805031,,1772283968276
KRW-XRP,엑스알피(리플),XRP,,1902.0,486344642735.0502,-0.0403632694,,1772283989544
KRW-CHZ,칠리즈,Chiliz,,46.6,3500956452.322684,-0.0547667343,,1772283965988
KRW-ASTR,아스타,Astar,,10.1,503955997.44668746,-0.0560747664,,1772283058535
KRW-ZK,지케이싱크,ZKsync,,26.4,3111637083.481803,-0.0604982206,,1772283972482
KRW-STORJ,스토리지,Storj,,133.0,488915270.70203817,-0.0431654676,,1772283937984
KRW-ENA,에테나,Ethena,,142.0,3909947666.3523083,-0.0533333333,,1772283940890
KRW-MANA,디센트럴랜드,Decentraland,,133.0,466387997.7170447,-0.0567375887,,1772283965341
KRW-OPEN,오픈렛저,OpenLedger,,209.0,1873421991.5276346,-0.0542986425,,1772283959210
KRW-PYTH,피스네트워크,Pyth Network,,67.5,443641682.33074105,-0.0689655172,,1772283916672
KRW-ENS,이더리움네임서비스,Ethereum Name Service,,8410.0,3479113317.2487793,-0.0497175141,,1772283973768
KRW-GRT,더그래프,The Graph,,36.2,659533770.1056783,-0.0523560209,,1772283784914
KRW-PUMP,펌프펀,Pump.fun,,2.55,2170348239.78342,-0.0267175573,,1772283972160
KRW-XTZ,테조스,Tezos,,531.0,257541947.49758783,-0.0517857143,,1772283786551
KRW-CKB,너보스,Nervos Network,,2.15,596776801.5843729,-0.0444444444,,1772283942812
KRW-KAVA,카바,Kava,,67.8,613000697.6883619,-0.0517482517,,1772283931514
KRW-TOSHI,토시,Toshi,,0.291,778420542.8025775,-0.0364238411,,1772283669673
KRW-BARD,롬바드,Lombard,,1528.0,59289425329.64384,0.215592681,,1772283989545
KRW-ZRO,레이어제로,LayerZero,,2256.0,2673430717.8369207,-0.0485027415,,1772283964052
KRW-RAY,레이디움,Raydium,,825.0,507648029.4519346,-0.0484429066,,1772283973769
KRW-ONDO,온도파이낸스,Ondo Finance,,354.0,7942979225.474968,-0.0585106383,,1772283942493
KRW-ZRX,제로엑스,0x Protocol,,144.0,452043048.64912087,-0.033557047,,1772283985683
KRW-GMT,스테픈,Stepn,,16.0,1695167027.5839903,-0.0588235294,,1772283973770
KRW-TFUEL,쎄타퓨엘,Theta Fuel,,19.4,348530502.525105,-0.0348258706,,1772283278112
KRW-CFG,센트리퓨즈,Centrifuge,,149.0,5745325173.306627,-0.1183431953,,1772283987611
KRW-AZTEC,아즈텍,Aztec,,29.0,7017401975.933266,-0.0584415584,,1772283980240
